Date,Close,High,Low,Open,Volume,Market_Return
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,
2022-03-07,4201.08984375,4327.009765625,4199.85009765625,4327.009765625,6940470000,
2022-03-08,4170.7001953125,4276.93994140625,4157.8701171875,4202.66015625,7243120000,-0.00723375351819977
2022-03-09,4277.8798828125,4299.39990234375,4223.10009765625,4223.10009765625,5662670000,0.02569824789143582
2022-03-10,4259.52001953125,4268.27978515625,4209.7998046875,4252.5498046875,4980830000,-0.004291813651667864
2022-03-11,4204.31005859375,4291.009765625,4200.490234375,4279.5,4938640000,-0.012961545123475138
2022-03-14,4173.10986328125,4247.56982421875,4161.72021484375,4202.75,5574920000,-0.007421002465963666
2022-03-15,4262.4501953125,4271.0498046875,4187.89990234375,4188.81982421875,5392470000,0.021408574170870942
2022-03-16,4357.85986328125,4358.89990234375,4251.990234375,4288.14013671875,6309750000,0.02238376135718223
2022-03-17,4411.669921875,4412.669921875,4335.64990234375,4345.10986328125,4985090000,0.01234781757145198
2022-03-18,4463.1201171875,4465.39990234375,4390.56982421875,4407.33984375,8278430000,0.011662294827948783
2022-03-21,4461.18017578125,4481.75,4424.2998046875,4462.39990234375,4869820000,-0.00043466036210393355
2022-03-22,4511.60986328125,4522.0,4469.10009765625,4469.10009765625,4754840000,0.0113041136006502
2022-03-23,4456.240234375,4501.06982421875,4455.81005859375,4493.10009765625,4550670000,-0.012272698789159042
2022-03-24,4520.16015625,4520.580078125,4465.169921875,4469.97998046875,4131390000,0.01434391292056647
2022-03-25,4543.06005859375,4546.02978515625,4501.06982421875,4522.91015625,4305020000,0.005066170567449069
2022-03-28,4575.52001953125,4575.64990234375,4517.68994140625,4541.08984375,4312260000,0.007144955276586762
2022-03-29,4631.60009765625,4637.2998046875,4589.66015625,4602.85986328125,5085910000,0.012256547427530462
2022-03-30,4602.4501953125,4627.77001953125,4581.31982421875,4624.2001953125,4385570000,-0.0062937001746978805
2022-03-31,4530.41015625,4603.06982421875,4530.41015625,4599.02001953125,4823020000,-0.015652540713177343
2022-04-01,4545.85986328125,4548.7001953125,4507.56982421875,4540.31982421875,4562940000,0.0034102225843584133
2022-04-04,4582.64013671875,4583.5,4539.2099609375,4547.97021484375,4547350000,0.008090938687879357
2022-04-05,4525.1201171875,4593.4501953125,4514.169921875,4572.4501953125,4800620000,-0.012551720801807331
2022-04-06,4481.14990234375,4503.93994140625,4450.0400390625,4494.169921875,4986830000,-0.009716916613271898
2022-04-07,4500.2099609375,4521.16015625,4450.2998046875,4474.64990234375,4821490000,0.004253385628492534
2022-04-08,4488.27978515625,4520.41015625,4474.60009765625,4494.14990234375,4083200000,-0.002651026482054286
2022-04-11,4412.52978515625,4464.35009765625,4408.3798828125,4462.64013671875,4266290000,-0.01687729010355421
2022-04-12,4397.4501953125,4471.0,4381.33984375,4437.58984375,4152090000,-0.003417447717741773
2022-04-13,4446.58984375,4453.919921875,4392.7001953125,4394.2998046875,3828150000,0.011174577597236057
2022-04-14,4392.58984375,4460.4599609375,4390.77001953125,4449.1201171875,4083090000,-0.01214413784439794
2022-04-18,4391.68994140625,4410.31005859375,4370.2998046875,4385.6298828125,3910490000,-0.0002048682840329885
2022-04-19,4462.2099609375,4471.02978515625,4390.6298828125,4390.6298828125,4108120000,0.016057604355527166
2022-04-20,4459.4501953125,4488.2900390625,4448.759765625,4472.259765625,4290450000,-0.0006184750715809706
2022-04-21,4393.66015625,4512.93994140625,4384.47021484375,4489.169921875,4636890000,-0.014752948498371943
2022-04-22,4271.77978515625,4385.830078125,4267.6201171875,4385.830078125,4651940000,-0.027740054250753654
2022-04-25,4296.1201171875,4299.02001953125,4200.81982421875,4255.33984375,5240040000,0.005697936985382235
2022-04-26,4175.2001953125,4278.14013671875,4175.0400390625,4278.14013671875,4689970000,-0.028146308431003852
2022-04-27,4183.9599609375,4240.7099609375,4162.89990234375,4186.52001953125,4769680000,0.0020980468517017847
2022-04-28,4287.5,4308.4501953125,4188.6298828125,4222.580078125,4854180000,0.02474690007293945
2022-04-29,4131.93017578125,4269.68017578125,4124.27978515625,4253.75,5084030000,-0.036284507106413955
2022-05-02,4155.3798828125,4169.81005859375,4062.510009765625,4130.60986328125,5163790000,0.005675242812353654
2022-05-03,4175.47998046875,4200.10009765625,4147.080078125,4159.77978515625,4582050000,0.004837126381486367
2022-05-04,4300.169921875,4307.66015625,4148.91015625,4181.18017578125,5136360000,0.02986242108440229
2022-05-05,4146.8701171875,4270.43017578125,4106.009765625,4270.43017578125,5077030000,-0.035649708609806985
2022-05-06,4123.33984375,4157.68994140625,4067.909912109375,4128.169921875,5116940000,-0.0056742248424840325
2022-05-09,3991.239990234375,4081.27001953125,3975.47998046875,4081.27001953125,5954520000,-0.03203710063235676
2022-05-10,4001.050048828125,4068.820068359375,3958.169921875,4035.179931640625,5885820000,0.0024578974498534745
2022-05-11,3935.179931640625,4049.090087890625,3928.820068359375,3990.080078125,5816140000,-0.01646320750393837
2022-05-12,3930.080078125,3964.800048828125,3858.8701171875,3903.949951171875,6286450000,-0.0012959645058717717
2022-05-13,4023.889892578125,4038.8798828125,3963.89990234375,3963.89990234375,5183340000,0.02386969542307149
2022-05-16,4008.010009765625,4046.4599609375,3983.989990234375,4013.02001953125,4415030000,-0.003946400929555671
2022-05-17,4088.85009765625,4090.719970703125,4033.929931640625,4052.0,4841410000,0.020169632234863677
2022-05-18,3923.679931640625,4051.97998046875,3911.909912109375,4051.97998046875,5103220000,-0.04039526078745259
2022-05-19,3900.7900390625,3945.9599609375,3876.580078125,3899.0,5113550000,-0.005833781800992588
2022-05-20,3901.360107421875,3943.419921875,3810.320068359375,3927.760009765625,5130730000,0.00014614176965843662
2022-05-23,3973.75,3981.8798828125,3909.0400390625,3919.419921875,4420030000,0.018555039930923556
2022-05-24,3941.47998046875,3955.679931640625,3875.1298828125,3942.93994140625,4923190000,-0.008120797617175213
2022-05-25,3978.72998046875,3999.330078125,3925.030029296875,3929.590087890625,4802560000,0.009450764734207695
2022-05-26,4057.840087890625,4075.139892578125,3984.60009765625,3984.60009765625,4709970000,0.019883256167224195
2022-05-27,4158.240234375,4158.490234375,4077.429931640625,4077.429931640625,4375620000,0.02474226295510973
2022-05-31,4132.14990234375,4168.33984375,4104.8798828125,4151.08984375,6822640000,-0.006274368617659065
2022-06-01,4101.22998046875,4166.5400390625,4073.85009765625,4149.77978515625,4531800000,-0.007482768681131846
